text,gold_category,pred_category,pred_prob
R$ 45 em material de escritório,Educação,Educação,0.9049305579462251
Transferi 250 para João via pix,Outros,Outros,0.9295576787848971
"R$ 9,90 assinatura app",Lazer,Lazer,0.8426658158748306
400 reais em peças para o carro,Transporte,Transporte,0.6026447317259451
"Aluguel 01/08 R$ 1.800,00",Moradia,Moradia,0.838952279782705
Doação 25 reais para instituição,Outros,Outros,0.9191402263624943
R$ 220 no supermercado Extra,Mercado,Mercado,0.7209739534649339
"Paguei a água 55,75",Moradia,Moradia,0.7553357512831081
Comprei passagem R$ 350 para Recife,Lazer,Lazer,0.5760469731765638
"R$ 14,20 no restaurante japonês",Comida,Comida,0.7795344322851979
Venda de livros 120 reais,Educação,Outros,0.5467709652655417
R$ 49 mensalidade curso online,Educação,Educação,0.9468218467974473
Paguei estacionamento 12 reais no centro,Transporte,Transporte,0.818038425170646
R$ 15 no lanche da escola,Comida,Comida,0.8563402104328447
Recebi 200 de reembolso do plano,Outros,Outros,0.8480789611282326
Paguei R$ 55 no conserto do celular,Outros,Outros,0.8398012572174381
R$ 300 consulta psicólogo particular,Saúde,Saúde,0.8128846928050425
Gastei 22 reais em pastel e suco,Comida,Comida,0.8375929842329013
Pagamento MercadoPago R$ 60,Mercado,Mercado,0.5907922773640114
"R$ 18,50 na padaria São José",Comida,Comida,0.7778811249098051
"Compras farmacia 75,00",Saúde,Saúde,0.5578005667927913
R$ 250 de depósito salário extra,Salário,Salário,0.9338921869500562
"Pedi uber 28,00 pro trabalho",Transporte,Transporte,0.7764991522271298
"R$ 5,00 do cafezinho na esquina",Comida,Comida,0.8189964870404142
Venda de roupa 90 reais,Outros,Outros,0.5698201190573241
Paguei R$ 120 no curso de fotografia,Educação,Educação,0.6510088866611814
R$ 250 transferência para poupança,Outros,Outros,0.9396071400100645
"Paguei doc 15,00 pelo banco",Outros,Outros,0.8956771545915544
R$ 3.600 aluguel anual dividido,Moradia,Moradia,0.7685617976384069
"Compra mercado 320,50 Pão de Açúcar",Mercado,Mercado,0.917388910993286
"Cinema com amigos 35,00",Lazer,Lazer,0.7733310233037473
"Pedi entrega de comida R$ 58,20",Comida,Comida,0.7609987440215918
R$ 95 restauração do carro,Transporte,Transporte,0.6477564119519593
Dois cafés grátis (cupom),Comida,Comida,0.6474931564180225
"R$ 18,50 táxi até a rodoviária",Transporte,Transporte,0.8879614550825748
Paguei R$ 14 na manicure,Outros,Outros,0.5555930293220488
Workshop R$ 210 12/11/2024,Educação,Educação,0.7822494609564125
"R$ 49,90 Spotify Premium",Lazer,Lazer,0.8993468272382145
Pagamento condomínio 420,Moradia,Moradia,0.8293681593337595
"R$ 33,20 compra na padaria do bairro",Comida,Comida,0.6533247583954847
Venda ingresso 120 para show,Outros,Outros,0.5118466659493409
"R$ 5,50 salgadinho no intervalo",Comida,Comida,0.6020270288205208
Transferência recebida 600 PIX,Outros,Outros,0.9190616898017058
R$ 1.250 conserto ar condicionado,Moradia,Moradia,0.6006022295944811
"Paguei 27,40 por livro usado",Educação,Educação,0.6198151481860115
"R$ 75,00 do conserto da bicicleta",Transporte,Outros,0.723583202501513
Pix 40 pro André,Outros,Outros,0.9205934109049929
R$ 5.000 adiantamento salário,Salário,Salário,0.9087913023837194
"Compra no atacarejo 560,00",Mercado,Mercado,0.6000445104431907
"R$ 19,90 assinatura de notícias",Lazer,Lazer,0.8407733051099076
Gastei 12 reais no ponto de táxi,Transporte,Transporte,0.8159011312690235
R$ 250 compra de presente,Outros,Outros,0.8142745946500668
Recebi doação 1000,Outros,Outros,0.8964387636203727
R$ 6 no pão de queijo hoje,Comida,Mercado,0.5085335527325346
"Pagamento Uber 32,10",Transporte,Transporte,0.6804537343444884
"R$ 14,00 compra na banca de jornal",Lazer,Lazer,0.6270726704112414
"Comprei material de desenho 58,60",Educação,Educação,0.7708109399254437
R$ 5 pix devolução,Outros,Outros,0.9599786580958161
"Pagamento de luz 210,00",Moradia,Moradia,0.8173472518795485
"R$ 11,50 sorvete na praça",Comida,Comida,0.8763176505183212
Transferi 800 pro aluguel via TED,Moradia,Outros,0.5150825410921932
"R$ 29,99 compra app jogo",Lazer,Lazer,0.7447111682771429
Serviço doméstico 90 reais,Moradia,Moradia,0.6743343443787538
"R$ 42,40 lanche pós-treino",Comida,Comida,0.8292797216929827
"Venda equipamento 1.200,00",Outros,Outros,0.8491406434771075
Paguei ingresso cinema 50,Lazer,Lazer,0.9173120514288032
R$ 260 consulta veterinária,Saúde,Saúde,0.9195460624629407
"Assinatura revista 19,00 mensal",Lazer,Lazer,0.9180710995255064
Recebi 3.000 por venda do carro,Outros,Outros,0.8484152967607392
"R$ 7,00 água mineral na praia",Comida,Comida,0.5881760129101167
"Pagamento de bolsa 500,00",Outros,Outros,0.553709560749775
R$ 120 compra de presente do aniversário,Outros,Outros,0.9262867659427815
Gastei 27 reais em sucos naturais,Comida,Comida,0.7376650115972793
"Paguei plano saúde 320,00 mensal",Saúde,Saúde,0.8415004656345384
R$ 18 almoço Executivo restaurante,Comida,Comida,0.7666996142077709
Transferi 60 para divisão de conta,Outros,Outros,0.856707802655898
"R$ 45,00 lavagem de carro",Transporte,Transporte,0.8888811533210149
Venda ingressos feira 300,Outros,Outros,0.8161676629967989
Táxi até em casa 45.92 reais,Transporte,Transporte,0.9064582770898459
"Sapato novo R$136,17",Outros,Outros,0.9240728961452017
Workshop de marketing R$ 346.79,Educação,Educação,0.9276107298558873
"Pastel na feira 12,32 reais",Comida,Comida,0.9297601723446912
"Hambúrguer no food truck R$28,30",Comida,Comida,0.9185490958671791
Débito automático,Outros,Outros,0.7640487548659535
Pagamento consultoria 4293.71 rs,Salário,Salário,0.9196761785364242
"Água da SABESP R$1460,05",Moradia,Moradia,0.9159737737550199
Devolução da loja R$135.31,Outros,Outros,0.9389851005165436
Spotify premium R$63.14,Lazer,Lazer,0.8870145055164654
Estorno pendente,Outros,Outros,0.77203890158684
Certificação online R$314.56,Educação,Educação,0.9348735346980983
"Hora extra 7449,81 rs",Salário,Salário,0.9230865907026047
"Reembolso do plano R$294,19",Outros,Outros,0.9248900773953097
"Transferi 89,37 reais para minha filho",Outros,Outros,0.9419302728824123
"Conserto do celular R$88,41",Outros,Outros,0.9222061018941946
PIX 252.81 reais divisão conta,Outros,Outros,0.8958843908175588
Transferi R$224.98 para minha irmã,Outros,Outros,0.9276008214354937
"Workshop de marketing R$ 102,74",Educação,Educação,0.9107666555378747
Show no Allianz 10.62 rs,Lazer,Lazer,0.9183610695388681
"Emprestei 351,80 rs para o Fernanda",Outros,Outros,0.89797688486137
Hora extra 2494.25 rs,Salário,Salário,0.9230188396694881
R$30 no lanche da tarde,Comida,Comida,0.9277755729312531
"Sapato novo R$220,00",Outros,Outros,0.8970928380386693
99 pop 170.93 reais,Transporte,Transporte,0.9318858807137742
"Aula particular 223,18 reais",Educação,Educação,0.8950684274277826
"DOC R$249,69 para filho",Outros,Outros,0.9252141807381417
"Material escolar R$307,31",Educação,Educação,0.9281335177872037
"Caneta e caderno 282,04 rs",Educação,Educação,0.9011709174084658
"Pagamento da empresa 5961,13 rs",Salário,Salário,0.9168828947919482
Mercadinho da esquina 417.25 reais,Mercado,Mercado,0.9031167734084322
"Perfume importado 156,25 rs",Outros,Outros,0.9228773967455962
Prêmio da loteria R$ 208.04,Outros,Outros,0.9206851305085291
Viagem para a praia R$ 96.04,Lazer,Lazer,0.9022942690776902
"99 pop 64,64 rs",Transporte,Transporte,0.895245874823047
"Sacolão 258,67 rs",Mercado,Mercado,0.8455325708060051
"Prêmio da loteria 85,46 rs",Outros,Outros,0.9378713573163612
Remédio da pressão 73.28 reais,Saúde,Saúde,0.8854934678257717
"Apostila do concurso R$ 299,89",Educação,Educação,0.9187404838046125
Maquiagem Natura 340.91 reais,Outros,Outros,0.7099489611459907
PIX agendado 384.05 rs,Outros,Outros,0.9239134467811838
Transação não identificada,Outros,Outros,0.7640487548659535
"Emprestei 315,76 reais para o Paulo",Outros,Outros,0.932093008743227
"Pedágio da rodovia R$ 165,19",Transporte,Transporte,0.8846984453669258
"Ajuda familiar R$383,85",Outros,Outros,0.9430161276023936
Material de limpeza 1093.21 reais,Moradia,Moradia,0.8245201569043559
"Freelance programação R$2633,22",Salário,Salário,0.9443963199708044
"Mandei R$15,49 pro José",Outros,Outros,0.89587123637893
"Teatro municipal R$7,03",Lazer,Lazer,0.8975209890321922
Compra cancelada,Outros,Outros,0.7008505821319823
Reembolso processando,Outros,Outros,0.936887003378282
Taxa do banco R$145.50,Outros,Outros,0.9201843143254834
"Hora extra R$4461,55",Salário,Salário,0.918152268825087
"Plano de saúde R$16,29",Saúde,Saúde,0.9265084997576863
"Aluguel do apartamento R$ 1659,27",Moradia,Moradia,0.8023569612311752
"Passagem de ônibus R$45,68",Transporte,Transporte,0.9307184188042735
Saiu do banco,Outros,Outros,0.934154415484045
Cinema no shopping 127.11 reais,Lazer,Lazer,0.8953319663175591
"Certificação online R$ 371,07",Educação,Educação,0.9363275462164443
Sacolão R$ 170.59,Mercado,Mercado,0.9423865202387711
"Dividendos ações R$ 278,30",Outros,Outros,0.9240725079792766
"Exames de sangue R$315,75",Saúde,Saúde,0.9391269055846959
Maquiagem Natura R$243.53,Outros,Outros,0.6103241890360384
Estacionamento do shopping 146.02 reais,Transporte,Transporte,0.891256999299002
"Taxa do banco 328,41 rs",Outros,Outros,0.9453768855051276
"Pão de Açúcar R$150,63",Mercado,Mercado,0.9493621707181195
"Presente de aniversário R$ 185,57",Outros,Outros,0.9358047792419842
"Pizza delivery R$ 35,19",Comida,Comida,0.9193289695726273
Revisão do carro 158.17 rs,Transporte,Transporte,0.844085537757118
Comprinhas básicas 174.01 rs,Mercado,Mercado,0.9213911874821741
Uber para o trabalho R$152.17,Transporte,Transporte,0.9302620892746546
"Roupas na C&A R$343,39",Outros,Outros,0.8442723611614307
"Pão de Açúcar R$ 124,41",Mercado,Mercado,0.9511365841417313
Comprei umas coisas hoje,Outros,Outros,0.5447440855494855
"Dividendos ações 367,10 reais",Outros,Outros,0.9378072703600274
Consulta médica 266.58 reais,Saúde,Saúde,0.9413122970878502
"Condomínio 1078,17 rs",Moradia,Moradia,0.9232288287588145
Carnes no açougue 449.75 reais,Mercado,Mercado,0.9247090560305479
Seguro do carro R$57.54,Outros,Outros,0.8125066158105639
Teatro municipal R$ 85.96,Lazer,Lazer,0.9457971990409965
"Parque de diversões 173,54 reais",Lazer,Lazer,0.9299472873820257
Presente de aniversário 23.11 reais,Outros,Outros,0.9022222237303489
Internet banda larga R$ 515.64,Moradia,Moradia,0.8803642417880929
Academia Smart Fit R$102.31,Saúde,Saúde,0.9355989684151903
Remédio da pressão 293.38 rs,Saúde,Saúde,0.9109945097390222
25.87 rs no lanche da tarde,Comida,Comida,0.9364713739841103
Transferi 364.01 rs para minha irmã,Outros,Outros,0.9362975983763139
Prêmio da loteria R$201.30,Outros,Outros,0.928547677221457
Faxina da casa R$ 170.97,Moradia,Moradia,0.8815843790110468
61.36 rs no lanche da tarde,Comida,Comida,0.9313493337170776
"Farmácia popular 300,07 rs",Saúde,Saúde,0.9385712717987841
"Taxa do banco R$341,73",Outros,Outros,0.9411241421528157
"Pão de Açúcar 21,23 reais",Mercado,Mercado,0.9465261927793228
"Show no Allianz 23,20 reais",Lazer,Lazer,0.8300691900241576
"Aula particular 183,61 reais",Educação,Educação,0.9307568137461598
5.21 rs no lanche da tarde,Comida,Comida,0.9465366304915371
"Certificação online R$183,82",Educação,Educação,0.9321925717388694
Fisioterapia R$ 190.73,Saúde,Saúde,0.9036575746691012
"IPTU R$ 1424,03",Moradia,Moradia,0.8691131425013827
"Trabalho extra R$ 1655,12",Salário,Salário,0.8482983427648717
"Transferi R$ 54,38 para minha irmã",Outros,Outros,0.9339738962861127
R$ 74.00 no lanche da tarde,Comida,Comida,0.930629302312497
Show no Allianz R$44.90,Lazer,Lazer,0.8935805802430247
Mercadinho da esquina 449.35 reais,Mercado,Mercado,0.9110314229090646
Comprinhas básicas 419.97 rs,Mercado,Mercado,0.9438055155573308
Exames de sangue 62.26 rs,Saúde,Saúde,0.9211911470128443
"Troca de óleo R$76,76",Transporte,Transporte,0.8819482780498608
"Fisioterapia R$317,44",Saúde,Saúde,0.8787831261060685
"Show no Allianz 131,57 reais",Lazer,Lazer,0.9146299256302313
"Ajuda familiar R$ 90,76",Outros,Outros,0.9145111543291504
Curso de inglês R$ 34.20,Educação,Educação,0.9271856993872403
"46,87 rs no lanche da tarde",Comida,Comida,0.943852694071111
Seguro do carro 44.44 rs,Outros,Outros,0.8664811927999009
"99 pop 11,85 rs",Transporte,Transporte,0.9146348834403465
Troca de óleo R$99.83,Transporte,Transporte,0.956647467884444
Carnes no açougue R$ 398.23,Mercado,Mercado,0.9177707761842151
"Presente de aniversário R$ 213,49",Outros,Outros,0.9233808791047423
Sapato novo R$ 136.15,Outros,Outros,0.9233881198328356
Taxa administrativa,Outros,Outros,0.9310812255031248
"Empréstimo recebido 173,65 reais",Outros,Outros,0.9396297989279487
"Doação para ONG R$131,07",Outros,Outros,0.920706662063807
Cinema no shopping 202.15 rs,Lazer,Lazer,0.9212076002012433
"Salário depositado R$3639,13",Salário,Salário,0.9403937517032825
"Taxa do banco R$37,66",Outros,Outros,0.933233864539542
"Compras da semana R$ 295,34",Mercado,Mercado,0.915114034254023
"Atacadão compras 403,43 reais",Mercado,Mercado,0.9136861800234405
"Emprestei R$ 335,78 para o José",Outros,Outros,0.9277377377095183
"Dividendos ações R$ 303,63",Outros,Outros,0.9370434463307493
"Extra supermercados 35,87 rs",Mercado,Mercado,0.8276978266273618
"Spotify premium R$13,40",Lazer,Lazer,0.8519732794302225
"Jantar romântico custou R$ 8,79",Comida,Comida,0.948355582591809
"Ingresso do jogo R$47,98",Lazer,Lazer,0.8722560208865424
"Água da SABESP R$ 1756,22",Moradia,Moradia,0.918133243814203
Drogaria pacheco R$ 77.04,Saúde,Saúde,0.9029909841100966
Remédio da pressão 112.85 reais,Saúde,Saúde,0.9400861214830688
"Prêmio da loteria 61,34 rs",Outros,Outros,0.9322877622401843
Vendeu o celular 294.76 rs,Outros,Outros,0.9364017716354769
"Transferência 71,00 rs emergência",Outros,Outros,0.8975692306483266
"Uber para o trabalho R$94,04",Transporte,Transporte,0.8870854111196073
Pão de açúcar 38.40 rs,Mercado,Mercado,0.9456133590758299
Faxina da casa R$ 285.38,Moradia,Moradia,0.8715780698916964
Verduras e frutas R$408.23,Mercado,Mercado,0.9474199610085545
Vendeu o celular 365.57 reais,Outros,Outros,0.9344290156044192
Aula particular R$357.42,Educação,Educação,0.9051720894285838
Salário depositado R$3853.56,Salário,Salário,0.9260525364815385
Reembolso do plano 367.33 reais,Outros,Outros,0.8648907218992262
"Spotify premium 231,05 rs",Lazer,Lazer,0.9029753677301079
Gasolina do carro R$102.01,Transporte,Transporte,0.8300288717514879
"Conserto do celular R$177,38",Outros,Outros,0.9340336808185218
Açaí com granola R$ 84.81,Comida,Comida,0.886728060114608
"Hora extra 2189,57 reais",Salário,Salário,0.9006364152818095
Gastei no cartão,Outros,Comida,0.814464934926377
"Gás de cozinha 626,96 rs",Moradia,Moradia,0.9030349089582028
"Cashback do cartão 120,01 rs",Outros,Outros,0.9125476244192617
Pagamento da empresa R$ 2439.93,Salário,Salário,0.9193424677954658
Estacionamento do shopping 68.25 rs,Transporte,Transporte,0.8042882138387477
"Atacadão compras R$213,83",Mercado,Mercado,0.8880346358774763
"Gás de cozinha R$1724,42",Moradia,Moradia,0.9317550928373461
Sacolão R$ 160.69,Mercado,Mercado,0.8884938155851327
"Freelance programação 4162,54 reais",Salário,Salário,0.9386853947642778
"Revisão do carro 61,95 rs",Transporte,Transporte,0.7816773295419904
"Aluguel da casa 159,37 rs",Outros,Outros,0.7080320661697742
"Comissão de vendas R$3170,30",Salário,Salário,0.9303882125963482
Jantar romântico custou R$44.77,Comida,Comida,0.9376018493961275
Conta de luz R$1498.72,Moradia,Moradia,0.9350079225127178
"Caneta e caderno 152,83 reais",Educação,Educação,0.8878898706916418
Reforma do banheiro R$1062.25,Moradia,Moradia,0.706947230804816
Pastel na feira 11.89 reais,Comida,Comida,0.9271470013497164
"Netflix mensal R$ 202,52",Lazer,Lazer,0.9314653278412237
"Bonificação R$2553,29",Salário,Salário,0.7830394594033812
Netflix mensal 99.96 rs,Lazer,Lazer,0.8914813587557905
"Vendeu o celular 128,74 reais",Outros,Outros,0.9190311197633892
Passagem de ônibus 74.51 rs,Transporte,Transporte,0.9400076121772297
Roupas na C&A 76.68 rs,Outros,Outros,0.8288884728529432
"Caneta e caderno 92,38 reais",Educação,Educação,0.9051149479843978
Presente de aniversário R$163.64,Outros,Outros,0.9326246264735669
"Renda extra R$ 123,79",Outros,Outros,0.6710853862518015
Cinema no shopping R$235.57,Lazer,Lazer,0.9204304343327095
Certificação online R$70.16,Educação,Educação,0.9182997627429176
"Exames de sangue 269,76 reais",Saúde,Saúde,0.9365284994085242
Renda extra 182.76 reais,Outros,Outros,0.806576400642748
"Sapato novo R$ 120,79",Outros,Outros,0.9211696346974211
Balada sábado R$ 212.33,Lazer,Lazer,0.9236325026687388
IPTU R$ 1661.25,Moradia,Moradia,0.9000942575641186
Trabalho extra R$ 5509.89,Salário,Salário,0.9299200600274401
"Cervejinha com os amigos 16,49 rs",Comida,Comida,0.9132947373428295
"Pedágio da rodovia 45,80 rs",Transporte,Transporte,0.8942138098438885
"Pedágio da rodovia R$ 10,02",Transporte,Transporte,0.8725589026097483
"Transferência 6,34 reais emergência",Outros,Outros,0.9334838960624575
"99 pop 154,01 rs",Transporte,Transporte,0.924667835131949
Prêmio da loteria R$83.16,Outros,Outros,0.9233153262942982
"Spotify premium 65,82 rs",Lazer,Lazer,0.8520546627987379
"Freelance programação R$ 5554,58",Salário,Salário,0.9308438296374035
"Reembolso do plano 172,80 rs",Outros,Outros,0.7966445101466141
"Reembolso do plano R$ 204,59",Outros,Outros,0.8073814783763397
"Sacolão 251,96 reais",Mercado,Mercado,0.9240376996657288
Sapato novo R$ 65.06,Outros,Outros,0.9405545085954193
"Carnes no açougue 427,16 reais",Mercado,Mercado,0.9247741017943696
"Consulta médica R$ 143,52",Saúde,Saúde,0.9110082214304708
Devolução da loja R$ 305.90,Outros,Outros,0.8804043955053641
"Fisioterapia R$118,82",Saúde,Saúde,0.9244056700422166
Empréstimo recebido 75.05 rs,Outros,Outros,0.896375116798993
Balada sábado 107.26 reais,Lazer,Lazer,0.9308317890739564
"Prêmio da loteria R$ 55,20",Outros,Outros,0.8807457865172243
Passagem de ônibus 133.85 rs,Transporte,Transporte,0.9077771829406949
"Almocei hoje e gastei 75,56 rs",Comida,Comida,0.8273587843031454
R$ 31.41 no lanche da tarde,Comida,Comida,0.9406378855930386
Mensalidade Unopar 221.47 rs,Educação,Educação,0.9144589746622928
"Mandei 250,17 rs pro João",Outros,Outros,0.8904388841485255
Hambúrguer no food truck R$40.93,Comida,Comida,0.9512320164703684
"Material escolar R$ 301,29",Educação,Educação,0.9430978893343505
Caneta e caderno R$47.89,Educação,Educação,0.9252085247407688
"Seguro do carro R$287,27",Outros,Outros,0.8036542730298494
"99 pop R$ 155,01",Transporte,Transporte,0.933867348285942
"Balada sábado R$ 35,20",Lazer,Lazer,0.9261322348873469
Academia Smart Fit 296.53 rs,Saúde,Saúde,0.9423419894709056
Cervejinha com os amigos R$ 62.27,Comida,Comida,0.897517381784879
Parque de diversões R$189.37,Lazer,Lazer,0.9435705042867264
Empréstimo recebido R$49.29,Outros,Outros,0.9119736336895591
"Transferi 359,92 rs para minha irmã",Outros,Outros,0.9187333042152978
"Seguro do carro 242,10 rs",Outros,Outros,0.7629366298097003
"Curso de inglês R$ 366,68",Educação,Educação,0.9480881619824708
"Aluguel da casa 272,56 reais",Outros,Outros,0.5558428847259799
"Apostila do concurso R$365,02",Educação,Educação,0.8896378965435354
Certificação online R$ 359.46,Educação,Educação,0.9475908119146855
"Faxina da casa R$ 1542,21",Moradia,Moradia,0.9052060174649542
"Dividendos ações 373,25 rs",Outros,Outros,0.9321055898137036
"Material escolar 12,40 reais",Educação,Educação,0.9465287059980252
IPTU 1239.51 rs,Moradia,Moradia,0.9347501210872746
"Bar com a galera 249,24 reais",Lazer,Lazer,0.9272921006564127
Venda produtos R$ 33.35,Outros,Outros,0.9298538762029693
Viagem para a praia 17.87 rs,Lazer,Lazer,0.8057511911942159
"Jantar romântico custou 30,71 reais",Comida,Comida,0.9263902276165844
"Sapato novo R$ 199,10",Outros,Outros,0.939072345001769
Xerox das provas 23.58 rs,Educação,Educação,0.9353371558582041
"Plano de saúde R$ 14,09",Saúde,Saúde,0.9365248329499666
Sapato novo R$ 158.86,Outros,Outros,0.9309237183111382
Pastel na feira 75.22 rs,Comida,Comida,0.895392290224966
Condomínio 771.65 reais,Moradia,Moradia,0.9141195109654853
PIX agendado R$335.01,Outros,Outros,0.9455142163235156
Extra supermercados R$273.96,Mercado,Mercado,0.8920961109539488
"Transferi 383,99 reais para minha filho",Outros,Outros,0.8494020237616288
Sacolão R$ 39.76,Mercado,Mercado,0.8574949100468195
Exames de sangue 307.67 reais,Saúde,Saúde,0.9390348104344999
"Sacolão R$ 175,00",Mercado,Mercado,0.9177410645066041
"Certificação online 277,36 reais",Educação,Educação,0.9258385212496103
"Empréstimo recebido R$24,81",Outros,Outros,0.932955658990072
Hambúrguer no food truck 66.21 reais,Comida,Comida,0.9309892154506146
"Cafezinho da manhã 60,70 reais",Comida,Comida,0.9068673081650278
"Fisioterapia 268,48 rs",Saúde,Saúde,0.8380486780095056
Pizza delivery R$ 43.05,Comida,Comida,0.9174802225210831
"Apostila do concurso 109,40 rs",Educação,Educação,0.9394899239674933
Pão de açúcar R$76.12,Mercado,Mercado,0.9447236025327596
Devolução da loja R$376.49,Outros,Outros,0.9278341823123012
Doação para ONG R$ 52.22,Outros,Outros,0.9253354802309485
Vendeu o celular R$ 166.07,Outros,Outros,0.914067671847016
Faxina da casa R$ 1208.86,Moradia,Moradia,0.8121565900671878
Doação para ONG R$ 236.28,Outros,Outros,0.9472755435254437
"Dentista 39,14 rs",Saúde,Saúde,0.8824520772536255
"Troca de óleo R$ 47,68",Transporte,Transporte,0.9275571232223275
Xerox das provas 257.59 reais,Educação,Educação,0.9266676654294415
Comissão de vendas R$1577.38,Salário,Salário,0.9360410831133619
"R$ 52,92 no lanche da tarde",Comida,Comida,0.9196711436943051
"Reembolso do plano R$253,14",Outros,Outros,0.8729177465728872
Cafezinho da manhã 55.85 rs,Comida,Comida,0.9046107585033867
"Hambúrguer no food truck R$ 59,76",Comida,Comida,0.914067118972509
"Parque de diversões R$241,26",Lazer,Lazer,0.9427471832055119
Farmácia popular R$111.56,Saúde,Saúde,0.922114182178785
"Roupas na C&A R$ 177,02",Outros,Outros,0.8482924636222066
"Cinema no shopping 244,72 rs",Lazer,Lazer,0.9327967851512815
Revisão do carro 8.27 rs,Transporte,Transporte,0.8448023019836987
"Apostila do concurso R$360,78",Educação,Educação,0.9326006576694382
Cashback do cartão R$108.55,Outros,Outros,0.9258813503420686
Caneta e caderno R$32.71,Educação,Educação,0.9285065422121347
"Roupas na C&A R$ 125,13",Outros,Outros,0.7452079502924334
"Conserto do celular R$164,02",Outros,Outros,0.9298731143334212
"Estacionamento do shopping R$21,40",Transporte,Transporte,0.8469583927927172
"Presente de aniversário R$293,36",Outros,Outros,0.9191331747299722
"Bilhete único R$ 175,37",Transporte,Transporte,0.8441014107466439
