text,amount_correct,category_correct,type_correct,confidence,model_confidence,final_category,gold_category
10 reais no pix pra mãe,True,True,True,0.86,0.659,Outros,Outros
700 reais na viagem fortaleza,True,True,True,0.7,0.749,Lazer,Lazer
183 reais para o evento BRACIS,True,True,True,0.64,0.59,Lazer,Lazer
"R$ 7,50 no pão francês",True,True,True,0.64,0.596,Comida,Comida
Depósito 1200 para conta poupança,True,True,True,1.0,0.896,Outros,Outros
Trabalhei e recebi 600 de freelancer,True,True,True,1.0,0.654,Salário,Salário
"R$ 3.200,00 salário 01/07/2025",True,True,True,1.0,0.874,Salário,Salário
"Comprei 3 latas de cerveja 27,30",True,True,True,1.0,0.741,Lazer,Lazer
"Pedi delivery ifood 49,90",True,True,True,1.0,0.913,Comida,Comida
R$ 45 em material de escritório,True,True,True,1.0,0.905,Educação,Educação
Transferi 250 para João via pix,True,True,True,0.97,0.93,Outros,Outros
"R$ 9,90 assinatura app",True,True,True,0.74,0.843,Lazer,Lazer
400 reais em peças para o carro,True,True,True,1.0,0.603,Transporte,Transporte
"Aluguel 01/08 R$ 1.800,00",True,True,True,1.0,0.839,Moradia,Moradia
Doação 25 reais para instituição,True,True,True,0.97,0.919,Outros,Outros
R$ 220 no supermercado Extra,True,True,True,1.0,0.721,Mercado,Mercado
"Paguei a água 55,75",True,True,True,1.0,0.755,Moradia,Moradia
Comprei passagem R$ 350 para Recife,True,True,True,0.63,0.576,Lazer,Lazer
"R$ 14,20 no restaurante japonês",True,True,True,1.0,0.78,Comida,Comida
Venda de livros 120 reais,True,False,False,0.92,0.547,Outros,Educação
R$ 49 mensalidade curso online,True,True,True,1.0,0.947,Educação,Educação
Paguei estacionamento 12 reais no centro,True,True,True,1.0,0.818,Transporte,Transporte
R$ 15 no lanche da escola,True,True,True,1.0,0.856,Comida,Comida
Recebi 200 de reembolso do plano,True,True,True,0.94,0.848,Outros,Outros
Paguei R$ 55 no conserto do celular,True,True,True,0.94,0.84,Outros,Outros
R$ 300 consulta psicólogo particular,True,True,True,1.0,0.813,Saúde,Saúde
Gastei 22 reais em pastel e suco,True,True,True,1.0,0.838,Comida,Comida
Pagamento MercadoPago R$ 60,True,True,True,1.0,0.591,Mercado,Mercado
"R$ 18,50 na padaria São José",True,True,True,1.0,0.778,Comida,Comida
"Compras farmacia 75,00",True,True,True,0.92,0.558,Saúde,Saúde
R$ 250 de depósito salário extra,True,True,True,1.0,0.934,Salário,Salário
"Pedi uber 28,00 pro trabalho",True,True,True,1.0,0.776,Transporte,Transporte
"R$ 5,00 do cafezinho na esquina",True,True,True,0.73,0.819,Comida,Comida
Venda de roupa 90 reais,True,True,False,0.83,0.57,Outros,Outros
Paguei R$ 120 no curso de fotografia,True,True,True,1.0,0.651,Educação,Educação
R$ 250 transferência para poupança,True,True,False,0.98,0.94,Outros,Outros
"Paguei doc 15,00 pelo banco",True,True,True,0.96,0.896,Outros,Outros
R$ 3.600 aluguel anual dividido,True,True,True,1.0,0.769,Moradia,Moradia
"Compra mercado 320,50 Pão de Açúcar",True,True,True,1.0,0.917,Mercado,Mercado
"Cinema com amigos 35,00",True,True,True,1.0,0.773,Lazer,Lazer
"Pedi entrega de comida R$ 58,20",True,True,True,0.7,0.761,Comida,Comida
R$ 95 restauração do carro,True,True,True,1.0,0.648,Transporte,Transporte
Dois cafés grátis (cupom),True,True,True,0.76,0.647,Comida,Comida
"R$ 18,50 táxi até a rodoviária",True,True,True,0.76,0.888,Transporte,Transporte
Paguei R$ 14 na manicure,True,True,True,0.82,0.556,Outros,Outros
Workshop R$ 210 12/11/2024,True,True,True,0.71,0.782,Educação,Educação
"R$ 49,90 Spotify Premium",True,True,True,1.0,0.899,Lazer,Lazer
Pagamento condomínio 420,True,True,True,1.0,0.829,Moradia,Moradia
"R$ 33,20 compra na padaria do bairro",True,True,True,1.0,0.653,Comida,Comida
Venda ingresso 120 para show,True,True,False,0.9,0.512,Outros,Outros
"R$ 5,50 salgadinho no intervalo",True,True,True,0.64,0.602,Comida,Comida
Transferência recebida 600 PIX,True,True,True,0.97,0.919,Outros,Outros
R$ 1.250 conserto ar condicionado,True,True,True,0.64,0.601,Moradia,Moradia
"Paguei 27,40 por livro usado",True,True,True,1.0,0.62,Educação,Educação
"R$ 75,00 do conserto da bicicleta",True,False,True,0.89,0.724,Outros,Transporte
Pix 40 pro André,True,True,True,0.97,0.921,Outros,Outros
R$ 5.000 adiantamento salário,True,True,True,1.0,0.909,Salário,Salário
"Compra no atacarejo 560,00",True,True,True,0.64,0.6,Mercado,Mercado
"R$ 19,90 assinatura de notícias",True,True,True,0.74,0.841,Lazer,Lazer
Gastei 12 reais no ponto de táxi,True,True,True,1.0,0.816,Transporte,Transporte
R$ 250 compra de presente,True,True,True,0.93,0.814,Outros,Outros
Recebi doação 1000,True,True,True,0.96,0.896,Outros,Outros
R$ 6 no pão de queijo hoje,True,False,True,0.6,0.509,Mercado,Comida
"Pagamento Uber 32,10",True,True,True,1.0,0.68,Transporte,Transporte
"R$ 14,00 compra na banca de jornal",True,True,True,0.65,0.627,Lazer,Lazer
"Comprei material de desenho 58,60",True,True,True,1.0,0.771,Educação,Educação
R$ 5 pix devolução,True,True,False,0.98,0.96,Outros,Outros
"Pagamento de luz 210,00",True,True,True,1.0,0.817,Moradia,Moradia
"R$ 11,50 sorvete na praça",True,True,True,0.75,0.876,Comida,Comida
Transferi 800 pro aluguel via TED,True,False,True,0.91,0.515,Outros,Moradia
"R$ 29,99 compra app jogo",True,True,True,1.0,0.745,Lazer,Lazer
Serviço doméstico 90 reais,True,True,True,0.67,0.674,Moradia,Moradia
"R$ 42,40 lanche pós-treino",True,True,True,1.0,0.829,Comida,Comida
"Venda equipamento 1.200,00",True,True,False,0.94,0.849,Outros,Outros
Paguei ingresso cinema 50,True,True,True,1.0,0.917,Lazer,Lazer
R$ 260 consulta veterinária,True,True,True,1.0,0.92,Saúde,Saúde
"Assinatura revista 19,00 mensal",True,True,True,0.77,0.918,Lazer,Lazer
Recebi 3.000 por venda do carro,True,True,True,1.0,0.848,Outros,Outros
"R$ 7,00 água mineral na praia",True,True,True,0.94,0.588,Comida,Comida
"Pagamento de bolsa 500,00",True,True,False,0.82,0.554,Outros,Outros
R$ 120 compra de presente do aniversário,True,True,True,0.97,0.926,Outros,Outros
Gastei 27 reais em sucos naturais,True,True,True,1.0,0.738,Comida,Comida
"Paguei plano saúde 320,00 mensal",True,True,True,0.74,0.842,Saúde,Saúde
R$ 18 almoço Executivo restaurante,True,True,True,1.0,0.767,Comida,Comida
Transferi 60 para divisão de conta,True,True,True,0.94,0.857,Outros,Outros
"R$ 45,00 lavagem de carro",True,True,True,1.0,0.889,Transporte,Transporte
Venda ingressos feira 300,True,True,False,1.0,0.816,Outros,Outros
Táxi até em casa 45.92 reais,True,True,True,0.76,0.906,Transporte,Transporte
"Sapato novo R$136,17",True,True,True,0.97,0.924,Outros,Outros
Workshop de marketing R$ 346.79,True,True,True,0.77,0.928,Educação,Educação
"Pastel na feira 12,32 reais",True,True,True,1.0,0.93,Comida,Comida
"Hambúrguer no food truck R$28,30",True,True,True,0.77,0.919,Comida,Comida
Débito automático,True,True,True,0.51,0.764,Outros,Outros
Pagamento consultoria 4293.71 rs,True,True,False,0.77,0.92,Salário,Salário
"Água da SABESP R$1460,05",True,True,True,1.0,0.916,Moradia,Moradia
Devolução da loja R$135.31,True,True,False,0.98,0.939,Outros,Outros
Spotify premium R$63.14,True,True,True,1.0,0.887,Lazer,Lazer
Estorno pendente,True,True,True,0.51,0.772,Outros,Outros
Certificação online R$314.56,True,True,True,0.77,0.935,Educação,Educação
"Hora extra 7449,81 rs",True,True,False,1.0,0.923,Salário,Salário
"Reembolso do plano R$294,19",True,True,False,0.97,0.925,Outros,Outros
"Transferi 89,37 reais para minha filho",True,True,True,0.98,0.942,Outros,Outros
"Conserto do celular R$88,41",True,True,True,0.97,0.922,Outros,Outros
PIX 252.81 reais divisão conta,True,True,True,0.96,0.896,Outros,Outros
Transferi R$224.98 para minha irmã,True,True,True,0.97,0.928,Outros,Outros
"Workshop de marketing R$ 102,74",True,True,True,0.76,0.911,Educação,Educação
Show no Allianz 10.62 rs,True,True,True,0.77,0.918,Lazer,Lazer
"Emprestei 351,80 rs para o Fernanda",True,True,False,0.96,0.898,Outros,Outros
Hora extra 2494.25 rs,True,True,False,1.0,0.923,Salário,Salário
R$30 no lanche da tarde,True,True,True,1.0,0.928,Comida,Comida
"Sapato novo R$220,00",True,True,True,0.96,0.897,Outros,Outros
99 pop 170.93 reais,True,True,True,1.0,0.932,Transporte,Transporte
"Aula particular 223,18 reais",True,True,True,0.76,0.895,Educação,Educação
"DOC R$249,69 para filho",True,True,False,0.97,0.925,Outros,Outros
"Material escolar R$307,31",True,True,True,1.0,0.928,Educação,Educação
"Caneta e caderno 282,04 rs",True,True,True,0.76,0.901,Educação,Educação
"Pagamento da empresa 5961,13 rs",True,True,False,0.77,0.917,Salário,Salário
Mercadinho da esquina 417.25 reais,True,True,True,0.76,0.903,Mercado,Mercado
"Perfume importado 156,25 rs",True,True,True,0.97,0.923,Outros,Outros
Prêmio da loteria R$ 208.04,True,True,False,0.97,0.921,Outros,Outros
Viagem para a praia R$ 96.04,True,True,True,0.76,0.902,Lazer,Lazer
"99 pop 64,64 rs",True,True,True,1.0,0.895,Transporte,Transporte
"Sacolão 258,67 rs",True,True,True,0.74,0.846,Mercado,Mercado
"Prêmio da loteria 85,46 rs",True,True,False,0.98,0.938,Outros,Outros
Remédio da pressão 73.28 reais,True,True,True,1.0,0.885,Saúde,Saúde
"Apostila do concurso R$ 299,89",True,True,True,1.0,0.919,Educação,Educação
Maquiagem Natura 340.91 reais,True,True,True,0.88,0.71,Outros,Outros
PIX agendado 384.05 rs,True,True,True,0.97,0.924,Outros,Outros
Transação não identificada,True,True,True,0.51,0.764,Outros,Outros
"Emprestei 315,76 reais para o Paulo",True,True,False,0.97,0.932,Outros,Outros
"Pedágio da rodovia R$ 165,19",True,True,True,0.75,0.885,Transporte,Transporte
"Ajuda familiar R$383,85",True,True,False,0.98,0.943,Outros,Outros
Material de limpeza 1093.21 reais,True,True,True,1.0,0.825,Moradia,Moradia
"Freelance programação R$2633,22",True,True,False,1.0,0.944,Salário,Salário
"Mandei R$15,49 pro José",True,True,True,0.96,0.896,Outros,Outros
"Teatro municipal R$7,03",True,True,True,1.0,0.898,Lazer,Lazer
Compra cancelada,True,True,True,0.48,0.701,Outros,Outros
Reembolso processando,True,True,True,0.57,0.937,Outros,Outros
Taxa do banco R$145.50,True,True,True,0.97,0.92,Outros,Outros
"Hora extra R$4461,55",True,True,False,1.0,0.918,Salário,Salário
"Plano de saúde R$16,29",True,True,True,0.77,0.927,Saúde,Saúde
"Aluguel do apartamento R$ 1659,27",True,True,True,1.0,0.802,Moradia,Moradia
"Passagem de ônibus R$45,68",True,True,True,1.0,0.931,Transporte,Transporte
Saiu do banco,True,True,True,0.57,0.934,Outros,Outros
Cinema no shopping 127.11 reais,True,True,True,1.0,0.895,Lazer,Lazer
"Certificação online R$ 371,07",True,True,True,0.77,0.936,Educação,Educação
Sacolão R$ 170.59,True,True,True,0.78,0.942,Mercado,Mercado
"Dividendos ações R$ 278,30",True,True,False,0.97,0.924,Outros,Outros
"Exames de sangue R$315,75",True,True,True,1.0,0.939,Saúde,Saúde
Maquiagem Natura R$243.53,True,True,True,0.84,0.61,Outros,Outros
Estacionamento do shopping 146.02 reais,True,True,True,1.0,0.891,Transporte,Transporte
"Taxa do banco 328,41 rs",True,True,True,0.98,0.945,Outros,Outros
"Pão de Açúcar R$150,63",True,True,True,1.0,0.949,Mercado,Mercado
"Presente de aniversário R$ 185,57",True,True,True,0.97,0.936,Outros,Outros
"Pizza delivery R$ 35,19",True,True,True,1.0,0.919,Comida,Comida
Revisão do carro 158.17 rs,True,True,True,1.0,0.844,Transporte,Transporte
Comprinhas básicas 174.01 rs,True,True,True,0.77,0.921,Mercado,Mercado
Uber para o trabalho R$152.17,True,True,True,1.0,0.93,Transporte,Transporte
"Roupas na C&A R$343,39",True,True,True,0.94,0.844,Outros,Outros
"Pão de Açúcar R$ 124,41",True,True,True,1.0,0.951,Mercado,Mercado
Comprei umas coisas hoje,True,True,True,0.42,0.545,Outros,Outros
"Dividendos ações 367,10 reais",True,True,False,0.98,0.938,Outros,Outros
Consulta médica 266.58 reais,True,True,True,1.0,0.941,Saúde,Saúde
"Condomínio 1078,17 rs",True,True,True,1.0,0.923,Moradia,Moradia
Carnes no açougue 449.75 reais,True,True,True,0.77,0.925,Mercado,Mercado
Seguro do carro R$57.54,True,True,True,1.0,0.813,Outros,Outros
Teatro municipal R$ 85.96,True,True,True,1.0,0.946,Lazer,Lazer
"Parque de diversões 173,54 reais",True,True,True,0.77,0.93,Lazer,Lazer
Presente de aniversário 23.11 reais,True,True,True,0.96,0.902,Outros,Outros
Internet banda larga R$ 515.64,True,True,True,1.0,0.88,Moradia,Moradia
Academia Smart Fit R$102.31,True,True,True,1.0,0.936,Saúde,Saúde
Remédio da pressão 293.38 rs,True,True,True,1.0,0.911,Saúde,Saúde
25.87 rs no lanche da tarde,True,True,True,1.0,0.936,Comida,Comida
Transferi 364.01 rs para minha irmã,True,True,True,0.97,0.936,Outros,Outros
Prêmio da loteria R$201.30,True,True,False,0.97,0.929,Outros,Outros
Faxina da casa R$ 170.97,True,True,True,0.75,0.882,Moradia,Moradia
61.36 rs no lanche da tarde,True,True,True,1.0,0.931,Comida,Comida
"Farmácia popular 300,07 rs",True,True,True,1.0,0.939,Saúde,Saúde
"Taxa do banco R$341,73",True,True,True,0.98,0.941,Outros,Outros
"Pão de Açúcar 21,23 reais",True,True,True,1.0,0.947,Mercado,Mercado
"Show no Allianz 23,20 reais",True,True,True,0.73,0.83,Lazer,Lazer
"Aula particular 183,61 reais",True,True,True,0.77,0.931,Educação,Educação
5.21 rs no lanche da tarde,True,True,True,1.0,0.947,Comida,Comida
"Certificação online R$183,82",True,True,True,0.77,0.932,Educação,Educação
Fisioterapia R$ 190.73,True,True,True,0.76,0.904,Saúde,Saúde
"IPTU R$ 1424,03",True,True,True,0.75,0.869,Moradia,Moradia
"Trabalho extra R$ 1655,12",True,True,False,1.0,0.848,Salário,Salário
"Transferi R$ 54,38 para minha irmã",True,True,True,0.97,0.934,Outros,Outros
R$ 74.00 no lanche da tarde,True,True,True,1.0,0.931,Comida,Comida
Show no Allianz R$44.90,True,True,True,0.76,0.894,Lazer,Lazer
Mercadinho da esquina 449.35 reais,True,True,True,0.76,0.911,Mercado,Mercado
Comprinhas básicas 419.97 rs,True,True,True,0.78,0.944,Mercado,Mercado
Exames de sangue 62.26 rs,True,True,True,1.0,0.921,Saúde,Saúde
"Troca de óleo R$76,76",True,True,True,0.75,0.882,Transporte,Transporte
"Fisioterapia R$317,44",True,True,True,0.75,0.879,Saúde,Saúde
"Show no Allianz 131,57 reais",True,True,True,0.77,0.915,Lazer,Lazer
"Ajuda familiar R$ 90,76",True,True,False,0.97,0.915,Outros,Outros
Curso de inglês R$ 34.20,True,True,True,1.0,0.927,Educação,Educação
"46,87 rs no lanche da tarde",True,True,True,1.0,0.944,Comida,Comida
Seguro do carro 44.44 rs,True,True,True,1.0,0.866,Outros,Outros
"99 pop 11,85 rs",True,True,True,1.0,0.915,Transporte,Transporte
Troca de óleo R$99.83,True,True,True,1.0,0.957,Transporte,Transporte
Carnes no açougue R$ 398.23,True,True,True,0.77,0.918,Mercado,Mercado
"Presente de aniversário R$ 213,49",True,True,True,0.97,0.923,Outros,Outros
Sapato novo R$ 136.15,True,True,True,0.97,0.923,Outros,Outros
Taxa administrativa,True,True,True,0.57,0.931,Outros,Outros
"Empréstimo recebido 173,65 reais",True,True,True,0.98,0.94,Outros,Outros
"Doação para ONG R$131,07",True,True,True,0.97,0.921,Outros,Outros
Cinema no shopping 202.15 rs,True,True,True,1.0,0.921,Lazer,Lazer
"Salário depositado R$3639,13",True,True,True,1.0,0.94,Salário,Salário
"Taxa do banco R$37,66",True,True,True,0.97,0.933,Outros,Outros
"Compras da semana R$ 295,34",True,True,True,1.0,0.915,Mercado,Mercado
"Atacadão compras 403,43 reais",True,True,True,1.0,0.914,Mercado,Mercado
"Emprestei R$ 335,78 para o José",True,True,False,0.97,0.928,Outros,Outros
"Dividendos ações R$ 303,63",True,True,False,0.97,0.937,Outros,Outros
"Extra supermercados 35,87 rs",True,True,True,1.0,0.828,Mercado,Mercado
"Spotify premium R$13,40",True,True,True,1.0,0.852,Lazer,Lazer
"Jantar romântico custou R$ 8,79",True,True,True,1.0,0.948,Comida,Comida
"Ingresso do jogo R$47,98",True,True,True,1.0,0.872,Lazer,Lazer
"Água da SABESP R$ 1756,22",True,True,True,1.0,0.918,Moradia,Moradia
Drogaria pacheco R$ 77.04,True,True,True,1.0,0.903,Saúde,Saúde
Remédio da pressão 112.85 reais,True,True,True,1.0,0.94,Saúde,Saúde
"Prêmio da loteria 61,34 rs",True,True,False,0.97,0.932,Outros,Outros
Vendeu o celular 294.76 rs,True,True,True,0.97,0.936,Outros,Outros
"Transferência 71,00 rs emergência",True,True,False,0.96,0.898,Outros,Outros
"Uber para o trabalho R$94,04",True,True,True,1.0,0.887,Transporte,Transporte
Pão de açúcar 38.40 rs,True,True,True,1.0,0.946,Mercado,Mercado
Faxina da casa R$ 285.38,True,True,True,0.75,0.872,Moradia,Moradia
Verduras e frutas R$408.23,True,True,True,0.78,0.947,Mercado,Mercado
Vendeu o celular 365.57 reais,True,True,True,0.97,0.934,Outros,Outros
Aula particular R$357.42,True,True,True,0.76,0.905,Educação,Educação
Salário depositado R$3853.56,True,True,True,1.0,0.926,Salário,Salário
Reembolso do plano 367.33 reais,True,True,False,0.95,0.865,Outros,Outros
"Spotify premium 231,05 rs",True,True,True,1.0,0.903,Lazer,Lazer
Gasolina do carro R$102.01,True,True,True,1.0,0.83,Transporte,Transporte
"Conserto do celular R$177,38",True,True,True,0.97,0.934,Outros,Outros
Açaí com granola R$ 84.81,True,True,True,0.75,0.887,Comida,Comida
"Hora extra 2189,57 reais",True,True,False,1.0,0.901,Salário,Salário
Gastei no cartão,True,False,True,0.63,0.814,Comida,Outros
"Gás de cozinha 626,96 rs",True,True,True,0.76,0.903,Moradia,Moradia
"Cashback do cartão 120,01 rs",True,True,True,0.97,0.913,Outros,Outros
Pagamento da empresa R$ 2439.93,True,True,False,0.77,0.919,Salário,Salário
Estacionamento do shopping 68.25 rs,True,True,True,1.0,0.804,Transporte,Transporte
"Atacadão compras R$213,83",True,True,True,1.0,0.888,Mercado,Mercado
"Gás de cozinha R$1724,42",True,True,True,0.77,0.932,Moradia,Moradia
Sacolão R$ 160.69,True,True,True,0.76,0.888,Mercado,Mercado
"Freelance programação 4162,54 reais",True,True,False,1.0,0.939,Salário,Salário
"Revisão do carro 61,95 rs",True,True,True,1.0,0.782,Transporte,Transporte
"Aluguel da casa 159,37 rs",True,True,False,0.98,0.708,Outros,Outros
"Comissão de vendas R$3170,30",True,True,False,0.77,0.93,Salário,Salário
Jantar romântico custou R$44.77,True,True,True,1.0,0.938,Comida,Comida
Conta de luz R$1498.72,True,True,True,1.0,0.935,Moradia,Moradia
"Caneta e caderno 152,83 reais",True,True,True,0.76,0.888,Educação,Educação
Reforma do banheiro R$1062.25,True,True,True,0.68,0.707,Moradia,Moradia
Pastel na feira 11.89 reais,True,True,True,1.0,0.927,Comida,Comida
"Netflix mensal R$ 202,52",True,True,True,1.0,0.931,Lazer,Lazer
"Bonificação R$2553,29",True,True,True,1.0,0.783,Salário,Salário
Netflix mensal 99.96 rs,True,True,True,1.0,0.891,Lazer,Lazer
"Vendeu o celular 128,74 reais",True,True,True,0.97,0.919,Outros,Outros
Passagem de ônibus 74.51 rs,True,True,True,1.0,0.94,Transporte,Transporte
Roupas na C&A 76.68 rs,True,True,True,0.93,0.829,Outros,Outros
"Caneta e caderno 92,38 reais",True,True,True,0.76,0.905,Educação,Educação
Presente de aniversário R$163.64,True,True,True,0.97,0.933,Outros,Outros
"Renda extra R$ 123,79",True,True,False,0.97,0.671,Outros,Outros
Cinema no shopping R$235.57,True,True,True,1.0,0.92,Lazer,Lazer
Certificação online R$70.16,True,True,True,0.77,0.918,Educação,Educação
"Exames de sangue 269,76 reais",True,True,True,1.0,0.937,Saúde,Saúde
Renda extra 182.76 reais,True,True,False,1.0,0.807,Outros,Outros
"Sapato novo R$ 120,79",True,True,True,0.97,0.921,Outros,Outros
Balada sábado R$ 212.33,True,True,True,0.77,0.924,Lazer,Lazer
IPTU R$ 1661.25,True,True,True,0.76,0.9,Moradia,Moradia
Trabalho extra R$ 5509.89,True,True,False,1.0,0.93,Salário,Salário
"Cervejinha com os amigos 16,49 rs",True,True,True,0.77,0.913,Comida,Comida
"Pedágio da rodovia 45,80 rs",True,True,True,0.76,0.894,Transporte,Transporte
"Pedágio da rodovia R$ 10,02",True,True,True,0.75,0.873,Transporte,Transporte
"Transferência 6,34 reais emergência",True,True,False,0.97,0.933,Outros,Outros
"99 pop 154,01 rs",True,True,True,1.0,0.925,Transporte,Transporte
Prêmio da loteria R$83.16,True,True,False,0.97,0.923,Outros,Outros
"Spotify premium 65,82 rs",True,True,True,1.0,0.852,Lazer,Lazer
"Freelance programação R$ 5554,58",True,True,False,1.0,0.931,Salário,Salário
"Reembolso do plano 172,80 rs",True,True,False,0.92,0.797,Outros,Outros
"Reembolso do plano R$ 204,59",True,True,False,0.92,0.807,Outros,Outros
"Sacolão 251,96 reais",True,True,True,0.77,0.924,Mercado,Mercado
Sapato novo R$ 65.06,True,True,True,0.98,0.941,Outros,Outros
"Carnes no açougue 427,16 reais",True,True,True,0.77,0.925,Mercado,Mercado
"Consulta médica R$ 143,52",True,True,True,1.0,0.911,Saúde,Saúde
Devolução da loja R$ 305.90,True,True,False,0.95,0.88,Outros,Outros
"Fisioterapia R$118,82",True,True,True,0.77,0.924,Saúde,Saúde
Empréstimo recebido 75.05 rs,True,True,True,0.96,0.896,Outros,Outros
Balada sábado 107.26 reais,True,True,True,0.77,0.931,Lazer,Lazer
"Prêmio da loteria R$ 55,20",True,True,False,0.95,0.881,Outros,Outros
Passagem de ônibus 133.85 rs,True,True,True,1.0,0.908,Transporte,Transporte
"Almocei hoje e gastei 75,56 rs",True,True,True,1.0,0.827,Comida,Comida
R$ 31.41 no lanche da tarde,True,True,True,1.0,0.941,Comida,Comida
Mensalidade Unopar 221.47 rs,True,True,True,0.77,0.914,Educação,Educação
"Mandei 250,17 rs pro João",True,True,True,0.96,0.89,Outros,Outros
Hambúrguer no food truck R$40.93,True,True,True,0.78,0.951,Comida,Comida
"Material escolar R$ 301,29",True,True,True,1.0,0.943,Educação,Educação
Caneta e caderno R$47.89,True,True,True,0.77,0.925,Educação,Educação
"Seguro do carro R$287,27",True,True,True,1.0,0.804,Outros,Outros
"99 pop R$ 155,01",True,True,True,1.0,0.934,Transporte,Transporte
"Balada sábado R$ 35,20",True,True,True,0.77,0.926,Lazer,Lazer
Academia Smart Fit 296.53 rs,True,True,True,1.0,0.942,Saúde,Saúde
Cervejinha com os amigos R$ 62.27,True,True,True,0.76,0.898,Comida,Comida
Parque de diversões R$189.37,True,True,True,0.78,0.944,Lazer,Lazer
Empréstimo recebido R$49.29,True,True,True,0.96,0.912,Outros,Outros
"Transferi 359,92 rs para minha irmã",True,True,True,0.97,0.919,Outros,Outros
"Seguro do carro 242,10 rs",True,True,True,1.0,0.763,Outros,Outros
